season,team,pts_per_game
2020,Milwaukee Bucks,118.7
2020,Minnesota Timberwolves,113.3
2020,New Orleans Pelicans,115.8
2020,New York Knicks,105.8
2020,Oklahoma City Thunder,110.4
2020,Orlando Magic,107.3
2020,Philadelphia 76ers,110.7
2020,Phoenix Suns,113.6
2020,Portland Trail Blazers,115
2020,Sacramento Kings,110.1
2020,San Antonio Spurs,114.1
2020,Toronto Raptors,112.8
2020,Utah Jazz,111.3
2020,Washington Wizards,114.4
2020,League Average,111.8
2019,Atlanta Hawks,113.3
2019,Boston Celtics,112.4
2019,Brooklyn Nets,112.2
2019,Chicago Bulls,104.9
2019,Charlotte Hornets,110.7
2019,Cleveland Cavaliers,104.5
2019,Dallas Mavericks,108.9
2019,Denver Nuggets,110.7
2019,Detroit Pistons,107
2019,Golden State Warriors,117.7
2019,Houston Rockets,113.9
2019,Indiana Pacers,108
2019,Los Angeles Clippers,115.1
2019,Los Angeles Lakers,111.8
2019,Memphis Grizzlies,103.5
2019,Miami Heat,105.7
2019,Milwaukee Bucks,118.1
2019,Minnesota Timberwolves,112.5
2019,New Orleans Pelicans,115.4
2019,New York Knicks,104.6
2019,Oklahoma City Thunder,114.5
2019,Orlando Magic,107.3
2019,Philadelphia 76ers,115.2
2019,Phoenix Suns,107.5
2019,Portland Trail Blazers,114.7
2019,Sacramento Kings,114.2
2019,San Antonio Spurs,111.7
2019,Toronto Raptors,114.4
2019,Utah Jazz,111.7
2019,Washington Wizards,114
2019,League Average,111.2
2018,Atlanta Hawks,103.4
2018,Boston Celtics,104
2018,Brooklyn Nets,106.6
2018,Chicago Bulls,102.9
2018,Charlotte Hornets,108.2
2018,Cleveland Cavaliers,110.9
2018,Dallas Mavericks,102.3
2018,Denver Nuggets,110
2018,Detroit Pistons,103.8
2018,Golden State Warriors,113.5
2018,Houston Rockets,112.4
2018,Indiana Pacers,105.6
2018,Los Angeles Clippers,109
2018,Los Angeles Lakers,108.1
2018,Memphis Grizzlies,99.3
2018,Miami Heat,103.4
2018,Milwaukee Bucks,106.5
2018,Minnesota Timberwolves,109.5
2018,New Orleans Pelicans,111.7
2018,New York Knicks,104.5
2018,Oklahoma City Thunder,107.9
2018,Orlando Magic,103.4
2018,Philadelphia 76ers,109.8
2018,Phoenix Suns,103.9
2018,Portland Trail Blazers,105.6
2018,Sacramento Kings,98.8
2018,San Antonio Spurs,102.7
2018,Toronto Raptors,111.7
2018,Utah Jazz,104.1
2018,Washington Wizards,106.6
2018,League Average,106.3
2017,Atlanta Hawks,103.2
2017,Boston Celtics,108
2017,Brooklyn Nets,105.8
2017,Chicago Bulls,102.9
2017,Charlotte Hornets,104.9
2017,Cleveland Cavaliers,110.3
2017,Dallas Mavericks,97.9
2017,Denver Nuggets,111.7
2017,Detroit Pistons,101.3
2017,Golden State Warriors,115.9
2017,Houston Rockets,115.3
2017,Indiana Pacers,105.1
2017,Los Angeles Clippers,108.7
2017,Los Angeles Lakers,104.6
2017,Memphis Grizzlies,100.5
2017,Miami Heat,103.2
2017,Milwaukee Bucks,103.6
2017,Minnesota Timberwolves,105.6
2017,New Orleans Pelicans,104.3
2017,New York Knicks,104.3
2017,Oklahoma City Thunder,106.6
2017,Orlando Magic,101.1
2017,Philadelphia 76ers,102.4
2017,Phoenix Suns,107.7
2017,Portland Trail Blazers,107.9
2017,Sacramento Kings,102.8
2017,San Antonio Spurs,105.3
2017,Toronto Raptors,106.9
2017,Utah Jazz,100.7
2017,Washington Wizards,109.2
2017,League Average,105.6
2016,Atlanta Hawks,102.8
2016,Boston Celtics,105.7
2016,Brooklyn Nets,98.6
2016,Chicago Bulls,101.6
2016,Charlotte Hornets,103.4
2016,Cleveland Cavaliers,104.3
2016,Dallas Mavericks,102.3
2016,Denver Nuggets,101.9
2016,Detroit Pistons,102
2016,Golden State Warriors,114.9
2016,Houston Rockets,106.5
2016,Indiana Pacers,102.2
2016,Los Angeles Clippers,104.5
2016,Los Angeles Lakers,97.3
2016,Memphis Grizzlies,99.1
2016,Miami Heat,100
2016,Milwaukee Bucks,99
2016,Minnesota Timberwolves,102.4
2016,New Orleans Pelicans,102.7
2016,New York Knicks,98.4
2016,Oklahoma City Thunder,110.2
2016,Orlando Magic,102.1
2016,Philadelphia 76ers,97.4
2016,Phoenix Suns,100.9
2016,Portland Trail Blazers,105.1
2016,Sacramento Kings,106.6
2016,San Antonio Spurs,103.5
2016,Toronto Raptors,102.7
2016,Utah Jazz,97.7
2016,Washington Wizards,104.1
2016,League Average,102.7
2015,Atlanta Hawks,102.5
2015,Boston Celtics,101.4
2015,Brooklyn Nets,98
2015,Chicago Bulls,100.8
2015,Charlotte Hornets,94.2
2015,Cleveland Cavaliers,103.1
2015,Dallas Mavericks,105.2
2015,Denver Nuggets,101.5
2015,Detroit Pistons,98.5
2015,Golden State Warriors,110
2015,Houston Rockets,103.9
2015,Indiana Pacers,97.3
2015,Los Angeles Clippers,106.7
2015,Los Angeles Lakers,98.5
2015,Memphis Grizzlies,98.3
2015,Miami Heat,94.7
2015,Milwaukee Bucks,97.8
2015,Minnesota Timberwolves,97.8
2015,New Orleans Pelicans,99.4
2015,New York Knicks,91.9
2015,Oklahoma City Thunder,104
2015,Orlando Magic,95.7
2015,Philadelphia 76ers,92
2015,Phoenix Suns,102.4
2015,Portland Trail Blazers,102.8
2015,Sacramento Kings,101.3
2015,San Antonio Spurs,103.2
2015,Toronto Raptors,104
2015,Utah Jazz,95.1
2015,Washington Wizards,98.5
2015,League Average,100
2014,Atlanta Hawks,101
2014,Boston Celtics,96.2
2014,Brooklyn Nets,98.5
2014,Charlotte Bobcats,96.9
2014,Chicago Bulls,93.7
2014,Cleveland Cavaliers,98.2
2014,Dallas Mavericks,104.8
2014,Denver Nuggets,104.4
2014,Detroit Pistons,101
2014,Golden State Warriors,104.3
2014,Houston Rockets,107.7
2014,Indiana Pacers,96.7
2014,Los Angeles Clippers,107.9
2014,Los Angeles Lakers,103
2014,Memphis Grizzlies,96.1
2014,Miami Heat,102.2
2014,Milwaukee Bucks,95.5
2014,Minnesota Timberwolves,106.9
2014,New Orleans Pelicans,99.7
2014,New York Knicks,98.6
2014,Oklahoma City Thunder,106.2
2014,Orlando Magic,96.5
2014,Philadelphia 76ers,99.5
2014,Phoenix Suns,105.2
2014,Portland Trail Blazers,106.7
2014,Sacramento Kings,100.5
2014,San Antonio Spurs,105.4
2014,Toronto Raptors,101.3
2014,Utah Jazz,95
2014,Washington Wizards,100.7
2014,League Average,101
2013,Atlanta Hawks,98
2013,Boston Celtics,96.5
2013,Brooklyn Nets,96.9
2013,Charlotte Bobcats,93.4
2013,Chicago Bulls,93.2
2013,Cleveland Cavaliers,96.5
2013,Dallas Mavericks,101.1
2013,Denver Nuggets,106.1
2013,Detroit Pistons,94.9
2013,Golden State Warriors,101.2
2013,Houston Rockets,106
2013,Indiana Pacers,94.7
2013,Los Angeles Clippers,101.1
2013,Los Angeles Lakers,102.2
2013,Memphis Grizzlies,93.4
2013,Miami Heat,102.9
2013,Milwaukee Bucks,98.9
2013,Minnesota Timberwolves,95.7
2013,New Orleans Hornets,94.1
2013,New York Knicks,100
2013,Oklahoma City Thunder,105.7
2013,Orlando Magic,94.1
2013,Philadelphia 76ers,93.2
2013,Phoenix Suns,95.2
2013,Portland Trail Blazers,97.5
2013,Sacramento Kings,100.2
2013,San Antonio Spurs,103
2013,Toronto Raptors,97.2
2013,Utah Jazz,98
2013,Washington Wizards,93.2
2013,League Average,98.1
2012,Atlanta Hawks,96.6
2012,Boston Celtics,91.8
2012,Charlotte Bobcats,87
2012,Chicago Bulls,96.3
2012,Cleveland Cavaliers,93
2012,Dallas Mavericks,95.8
2012,Denver Nuggets,104.1
2012,Detroit Pistons,90.9
2012,Golden State Warriors,97.8
2012,Houston Rockets,98.1
2012,Indiana Pacers,97.7
2012,Los Angeles Clippers,97.5
2012,Los Angeles Lakers,97.3
2012,Memphis Grizzlies,95
2012,Miami Heat,98.5
2012,Milwaukee Bucks,99
2012,Minnesota Timberwolves,97.9
2012,New Jersey Nets,93.1
2012,New Orleans Hornets,89.6
2012,New York Knicks,97.8
2012,Oklahoma City Thunder,103.1
2012,Orlando Magic,94.2
2012,Philadelphia 76ers,93.6
2012,Phoenix Suns,98.4
2012,Portland Trail Blazers,97.2
2012,Sacramento Kings,98.8
2012,San Antonio Spurs,103.7
2012,Toronto Raptors,90.7
2012,Utah Jazz,99.7
2012,Washington Wizards,93.6
2012,League Average,96.3
2011,Atlanta Hawks,95
2011,Boston Celtics,96.5
2011,Charlotte Bobcats,93.3
2011,Chicago Bulls,98.6
2011,Cleveland Cavaliers,95.5
2011,Dallas Mavericks,100.2
2011,Denver Nuggets,107.5
2011,Detroit Pistons,97
2011,Golden State Warriors,103.4
2011,Houston Rockets,105.9
2011,Indiana Pacers,99.8
2011,Los Angeles Clippers,98.6
2011,Los Angeles Lakers,101.5
2011,Memphis Grizzlies,99.9
2011,Miami Heat,102.1
2011,Milwaukee Bucks,91.9
2011,Minnesota Timberwolves,101.1
2011,New Jersey Nets,94.2
2011,New Orleans Hornets,94.9
2011,New York Knicks,106.5
2011,Oklahoma City Thunder,104.8
2011,Orlando Magic,99.2
2011,Philadelphia 76ers,99
2011,Phoenix Suns,105
2011,Portland Trail Blazers,96.3
2011,Sacramento Kings,99.4
2011,San Antonio Spurs,103.7
2011,Toronto Raptors,99.1
2011,Utah Jazz,99.4
2011,Washington Wizards,97.3
2011,League Average,99.6
2010,Atlanta Hawks,101.7
2010,Boston Celtics,99.2
2010,Charlotte Bobcats,95.3
2010,Chicago Bulls,97.5
2010,Cleveland Cavaliers,102.1
2010,Dallas Mavericks,102
2010,Denver Nuggets,106.5
2010,Detroit Pistons,94
2010,Golden State Warriors,108.8
2010,Houston Rockets,102.4
2010,Indiana Pacers,100.8
2010,Los Angeles Clippers,95.7
2010,Los Angeles Lakers,101.7
2010,Memphis Grizzlies,102.5
2010,Miami Heat,96.5
2010,Milwaukee Bucks,97.7
2010,Minnesota Timberwolves,98.2
2010,New Jersey Nets,92.4
2010,New Orleans Hornets,100.2
2010,New York Knicks,102.1
2010,Oklahoma City Thunder,101.5
2010,Orlando Magic,102.8
2010,Philadelphia 76ers,97.7
2010,Phoenix Suns,110.2
2010,Portland Trail Blazers,98.1
2010,Sacramento Kings,100
2010,San Antonio Spurs,101.4
2010,Toronto Raptors,104.1
2010,Utah Jazz,104.2
2010,Washington Wizards,96.2
2010,League Average,100.4
2009,Atlanta Hawks,98.1
2009,Boston Celtics,100.9
2009,Charlotte Bobcats,93.6
2009,Chicago Bulls,102.2
2009,Cleveland Cavaliers,100.3
2009,Dallas Mavericks,101.7
2009,Denver Nuggets,104.3
2009,Detroit Pistons,94.2
2009,Golden State Warriors,108.6
2009,Houston Rockets,98.4
2009,Indiana Pacers,105.1
2009,Los Angeles Clippers,95.1
2009,Los Angeles Lakers,106.9
2009,Memphis Grizzlies,93.9
2009,Miami Heat,98.3
2009,Milwaukee Bucks,99.3
2009,Minnesota Timberwolves,97.8
2009,New Jersey Nets,98.1
2009,New Orleans Hornets,95.8
2009,New York Knicks,105.2
2009,Oklahoma City Thunder,97
2009,Orlando Magic,101
2009,Philadelphia 76ers,97.4
2009,Phoenix Suns,109.4
2009,Portland Trail Blazers,99.4
2009,Sacramento Kings,100.6
2009,San Antonio Spurs,97
2009,Toronto Raptors,99
2009,Utah Jazz,103.6
2009,Washington Wizards,96.1
2009,League Average,100
2008,Atlanta Hawks,98.2
2008,Boston Celtics,100.5
2008,Charlotte Bobcats,97.1
2008,Chicago Bulls,97.3
2008,Cleveland Cavaliers,96.4
2008,Dallas Mavericks,100.4
2008,Denver Nuggets,110.7
2008,Detroit Pistons,97.5
2008,Golden State Warriors,111
2008,Houston Rockets,96.7
2008,Indiana Pacers,104
2008,Los Angeles Clippers,93.8
2008,Los Angeles Lakers,108.6
2008,Memphis Grizzlies,100.7
2008,Miami Heat,91.4
2008,Milwaukee Bucks,97
2008,Minnesota Timberwolves,95.6
2008,New Jersey Nets,95.8
2008,New Orleans Hornets,100.9
2008,New York Knicks,96.9
2008,Orlando Magic,104.5
2008,Philadelphia 76ers,96.6
2008,Phoenix Suns,110.1
2008,Portland Trail Blazers,95.4
2008,Sacramento Kings,102.5
2008,San Antonio Spurs,95.4
2008,Seattle Supersonics,97.5
2008,Toronto Raptors,100.2
2008,Utah Jazz,106.2
2008,Washington Wizards,98.8
2008,League Average,99.9
2007,Atlanta Hawks,93.7
2007,Boston Celtics,95.8
2007,Charlotte Bobcats,96.9
2007,Chicago Bulls,98.8
2007,Cleveland Cavaliers,96.8
2007,Dallas Mavericks,100
2007,Denver Nuggets,105.4
2007,Detroit Pistons,96
2007,Golden State Warriors,106.5
2007,Houston Rockets,97
2007,Indiana Pacers,95.6
2007,Los Angeles Clippers,95.6
2007,Los Angeles Lakers,103.3
2007,Memphis Grizzlies,101.6
2007,Miami Heat,94.6
2007,Milwaukee Bucks,99.7
2007,Minnesota Timberwolves,96.1
2007,New Jersey Nets,97.6
2007,New Orleans/Oklahoma City Hornets,95.5
2007,New York Knicks,97.5
2007,Orlando Magic,94.8
2007,Philadelphia 76ers,94.9
2007,Phoenix Suns,110.2
2007,Portland Trail Blazers,94.1
2007,Sacramento Kings,101.3
2007,San Antonio Spurs,98.5
2007,Seattle Supersonics,99.1
2007,Toronto Raptors,99.5
2007,Utah Jazz,101.5
2007,Washington Wizards,104.3
2007,League Average,98.7
2006,Atlanta Hawks,97.2
2006,Boston Celtics,98
2006,Charlotte Bobcats,96.9
2006,Chicago Bulls,97.8
2006,Cleveland Cavaliers,97.6
2006,Dallas Mavericks,99.1
2006,Denver Nuggets,100.3
2006,Detroit Pistons,96.8
2006,Golden State Warriors,98.5
2006,Houston Rockets,90.1
2006,Indiana Pacers,93.9
2006,Los Angeles Clippers,97.2
2006,Los Angeles Lakers,99.4
2006,Memphis Grizzlies,92.2
2006,Miami Heat,99.9
2006,Milwaukee Bucks,97.8
2006,Minnesota Timberwolves,91.7
2006,New Jersey Nets,93.8
2006,New Orleans/Oklahoma City Hornets,92.8
2006,New York Knicks,95.6
2006,Orlando Magic,94.9
2006,Philadelphia 76ers,99.4
2006,Phoenix Suns,108.4
2006,Portland Trail Blazers,88.8
2006,Sacramento Kings,98.9
2006,San Antonio Spurs,95.6
2006,Seattle Supersonics,102.6
2006,Toronto Raptors,101.1
2006,Utah Jazz,92.4
2006,Washington Wizards,101.7
2006,League Average,97
2005,Atlanta Hawks,92.7
2005,Boston Celtics,101.3
2005,Charlotte Bobcats,94.3
2005,Chicago Bulls,94.5
2005,Cleveland Cavaliers,96.5
2005,Dallas Mavericks,102.5
2005,Denver Nuggets,99.5
2005,Detroit Pistons,93.3
2005,Golden State Warriors,98.7
2005,Houston Rockets,95.1
2005,Indiana Pacers,93
2005,Los Angeles Clippers,95.7
2005,Los Angeles Lakers,98.7
2005,Memphis Grizzlies,93.4
2005,Miami Heat,101.5
2005,Milwaukee Bucks,97.2
2005,Minnesota Timberwolves,96.8
2005,New Jersey Nets,91.4
2005,New Orleans Hornets,88.4
2005,New York Knicks,97.3
2005,Orlando Magic,99.5
2005,Philadelphia 76ers,99.1
2005,Phoenix Suns,110.4
2005,Portland Trail Blazers,92.9
2005,Sacramento Kings,103.7
2005,San Antonio Spurs,96.2
2005,Seattle Supersonics,98.9
2005,Toronto Raptors,99.7
2005,Utah Jazz,93
2005,Washington Wizards,100.5
2005,League Average,97.2
2004,Atlanta Hawks,92.8
2004,Boston Celtics,95.3
2004,Chicago Bulls,89.7
2004,Cleveland Cavaliers,92.9
2004,Dallas Mavericks,105.2
2004,Denver Nuggets,97.2
2004,Detroit Pistons,90.1
2004,Golden State Warriors,93.3
2004,Houston Rockets,89.8
2004,Indiana Pacers,91.4
2004,Los Angeles Clippers,94.8
2004,Los Angeles Lakers,98.2
2004,Memphis Grizzlies,96.7
2004,Miami Heat,90.3
2004,Milwaukee Bucks,98
2004,Minnesota Timberwolves,94.5
2004,New Jersey Nets,90.3
2004,New Orleans Hornets,91.8
2004,New York Knicks,92
2004,Orlando Magic,94
2004,Philadelphia 76ers,88
2004,Phoenix Suns,94.2
2004,Portland Trail Blazers,90.7
2004,Sacramento Kings,102.8
2004,San Antonio Spurs,91.5
2004,Seattle Supersonics,97.1
2004,Toronto Raptors,85.4
2004,Utah Jazz,88.7
2004,Washington Wizards,91.8
2004,League Average,93.4
2003,Atlanta Hawks,94.1
2003,Boston Celtics,92.7
2003,Chicago Bulls,95
2003,Cleveland Cavaliers,91.4
2003,Dallas Mavericks,103
2003,Denver Nuggets,84.2
2003,Detroit Pistons,91.4
2003,Golden State Warriors,102.4
2003,Houston Rockets,93.8
2003,Indiana Pacers,96.8
2003,Los Angeles Clippers,93.8
2003,Los Angeles Lakers,100.4
2003,Memphis Grizzlies,97.5
2003,Miami Heat,85.6
2003,Milwaukee Bucks,99.5
2003,Minnesota Timberwolves,98.1
2003,New Jersey Nets,95.4
2003,New Orleans Hornets,93.9
2003,New York Knicks,95.9
2003,Orlando Magic,98.5
2003,Philadelphia 76ers,96.8
2003,Phoenix Suns,95.5
2003,Portland Trail Blazers,95.2
2003,Sacramento Kings,101.7
2003,San Antonio Spurs,95.8
2003,Seattle Supersonics,92.1
2003,Toronto Raptors,90.9
2003,Utah Jazz,94.7
2003,Washington Wizards,91.5
2003,League Average,95.1
2002,Atlanta Hawks,94
2002,Boston Celtics,96.4
2002,Charlotte Hornets,93.9
2002,Chicago Bulls,89.5
2002,Cleveland Cavaliers,95.3
2002,Dallas Mavericks,105.2
2002,Denver Nuggets,92.2
2002,Detroit Pistons,94.3
2002,Golden State Warriors,97.7
2002,Houston Rockets,92.3
2002,Indiana Pacers,96.8
2002,Los Angeles Clippers,95.7
2002,Los Angeles Lakers,101.3
2002,Memphis Grizzlies,89.9
2002,Miami Heat,87.2
2002,Milwaukee Bucks,97.5
2002,Minnesota Timberwolves,99.3
2002,New Jersey Nets,96.2
2002,New York Knicks,91.6
2002,Orlando Magic,100.5
2002,Philadelphia 76ers,91
2002,Phoenix Suns,95.1
2002,Portland Trail Blazers,96.6
2002,Sacramento Kings,104.6
2002,San Antonio Spurs,96.7
2002,Seattle Supersonics,97.7
2002,Toronto Raptors,91.4
2002,Utah Jazz,96
2002,Washington Wizards,92.8
2002,League Average,95.5
2001,Atlanta Hawks,91
2001,Boston Celtics,94.6
2001,Charlotte Hornets,91.9
2001,Chicago Bulls,87.6
2001,Cleveland Cavaliers,92.2
2001,Dallas Mavericks,100.5
2001,Denver Nuggets,96.6
2001,Detroit Pistons,95.6
2001,Golden State Warriors,92.5
2001,Houston Rockets,97.2
2001,Indiana Pacers,92.6
2001,Los Angeles Clippers,92.5
2001,Los Angeles Lakers,100.6
2001,Miami Heat,88.9
2001,Milwaukee Bucks,100.7
2001,Minnesota Timberwolves,97.3
2001,New Jersey Nets,92.1
2001,New York Knicks,88.7
2001,Orlando Magic,97.5
2001,Philadelphia 76ers,94.7
2001,Phoenix Suns,94
2001,Portland Trail Blazers,95.4
2001,Sacramento Kings,101.7
2001,San Antonio Spurs,96.2
2001,Seattle Supersonics,97.3
2001,Toronto Raptors,97.6
2001,Utah Jazz,97.1
2001,Vancouver Grizzlies,91.7
2001,Washington Wizards,93.2
2001,League Average,94.8
2000,Atlanta Hawks,94.3
2000,Boston Celtics,99.3
2000,Charlotte Hornets,98.4
2000,Chicago Bulls,84.8
2000,Cleveland Cavaliers,97
2000,Dallas Mavericks,101.4
2000,Denver Nuggets,99
2000,Detroit Pistons,103.5
2000,Golden State Warriors,95.5
2000,Houston Rockets,99.5
2000,Indiana Pacers,101.3
2000,Los Angeles Clippers,92
2000,Los Angeles Lakers,100.8
2000,Miami Heat,94.4
2000,Milwaukee Bucks,101.2
2000,Minnesota Timberwolves,98.5
2000,New Jersey Nets,98
2000,New York Knicks,92.1
2000,Orlando Magic,100.1
2000,Philadelphia 76ers,94.8
2000,Phoenix Suns,98.9
2000,Portland Trail Blazers,97.5
2000,Sacramento Kings,105
2000,San Antonio Spurs,96.2
2000,Seattle Supersonics,99.1
2000,Toronto Raptors,97.2
2000,Utah Jazz,96.5
2000,Vancouver Grizzlies,93.9
2000,Washington Wizards,96.6
2000,League Average,97.5
1999,Atlanta Hawks,86.3
1999,Boston Celtics,93
1999,Charlotte Hornets,92.9
1999,Chicago Bulls,81.9
1999,Cleveland Cavaliers,86.4
1999,Dallas Mavericks,91.6
1999,Denver Nuggets,93.5
1999,Detroit Pistons,90.4
1999,Golden State Warriors,88.3
1999,Houston Rockets,94.2
1999,Indiana Pacers,94.7
1999,Los Angeles Clippers,90.4
1999,Los Angeles Lakers,99
1999,Miami Heat,89
1999,Milwaukee Bucks,91.7
1999,Minnesota Timberwolves,92.9
1999,New Jersey Nets,91.4
1999,New York Knicks,86.4
1999,Orlando Magic,89.5
1999,Philadelphia 76ers,89.7
1999,Phoenix Suns,95.6
1999,Portland Trail Blazers,94.8
1999,Sacramento Kings,100.2
1999,San Antonio Spurs,92.8
1999,Seattle Supersonics,94.9
1999,Toronto Raptors,91.1
1999,Utah Jazz,93.3
1999,Vancouver Grizzlies,88.9
1999,Washington Wizards,91.2
1999,League Average,91.6
1998,Atlanta Hawks,95.9
1998,Boston Celtics,95.9
1998,Charlotte Hornets,96.6
1998,Chicago Bulls,96.7
1998,Cleveland Cavaliers,92.5
1998,Dallas Mavericks,91.4
1998,Denver Nuggets,89
1998,Detroit Pistons,94.2
1998,Golden State Warriors,88.3
1998,Houston Rockets,98.8
1998,Indiana Pacers,96
1998,Los Angeles Clippers,95.9
1998,Los Angeles Lakers,105.5
1998,Miami Heat,95
1998,Milwaukee Bucks,94.5
1998,Minnesota Timberwolves,101.1
1998,New Jersey Nets,99.6
1998,New York Knicks,91.6
1998,Orlando Magic,90.1
1998,Philadelphia 76ers,93.3
1998,Phoenix Suns,99.6
1998,Portland Trail Blazers,94.3
1998,Sacramento Kings,93.1
1998,San Antonio Spurs,92.5
1998,Seattle Supersonics,100.6
1998,Toronto Raptors,94.9
1998,Utah Jazz,101
1998,Vancouver Grizzlies,96.6
1998,Washington Wizards,97.2
1998,League Average,95.6
1997,Atlanta Hawks,94.8
